No_Pokedex,id_habilidad
1,1
1,2
2,1
2,2
3,1
3,2
4,3
4,4
5,3
5,4
6,3
6,4
7,5
7,6
8,5
8,6
9,5
9,6
10,7
10,8
11,9
12,10
12,11
13,7
13,8
14,9
15,12
15,13
16,14
16,15
16,16
17,14
17,15
17,16
18,14
18,15
18,16
19,8
19,17
19,18
19,19
19,18
19,20
20,8
20,17
20,18
20,19
20,18
20,20
21,14
21,13
22,14
22,13
23,21
23,9
23,22
24,21
24,9
24,22
25,23
25,24
26,23
26,24
26,25
27,26
27,27
27,28
27,29
28,26
28,27
28,28
28,29
29,30
29,31
29,18
30,30
30,31
30,18
31,30
31,31
31,32
32,30
32,31
32,18
33,30
33,31
33,18
34,30
34,31
34,32
35,33
35,34
35,35
36,33
36,34
36,36
37,37
37,38
37,28
37,39
38,37
38,38
38,28
38,39
39,33
39,40
39,35
40,33
40,40
40,41
41,42
41,43
42,42
42,43
43,2
43,8
44,2
44,44
45,2
45,45
46,45
46,46
46,47
47,45
47,46
47,47
48,10
48,11
48,8
49,7
49,11
49,48
50,26
50,49
50,50
50,26
50,51
50,50
51,26
51,49
51,50
51,26
51,51
51,50
52,52
52,53
52,22
52,52
52,53
52,54
53,55
53,53
53,22
53,56
53,53
53,54
54,47
54,57
54,58
55,47
55,57
55,58
56,59
56,60
56,61
57,59
57,60
57,61
58,21
58,37
58,62
59,21
59,37
59,62
60,63
60,47
60,58
61,63
61,47
61,58
62,63
62,47
62,58
63,64
63,42
63,34
64,64
64,42
64,34
65,64
65,42
65,34
66,17
66,65
66,66
67,17
67,65
67,66
68,17
68,65
68,66
69,2
69,19
70,2
70,19
71,2
71,19
72,67
72,68
72,6
73,67
73,68
73,6
74,69
74,70
74,26
74,71
74,70
74,72
75,69
75,70
75,26
75,71
75,70
75,72
76,69
76,70
76,26
76,71
76,70
76,72
77,8
77,37
77,73
78,8
78,37
78,73
79,74
79,75
79,76
80,74
80,75
80,76
81,71
81,70
81,77
82,71
82,70
82,77
83,14
83,42
83,61
84,8
84,78
84,15
85,8
85,78
85,15
86,20
86,79
86,80
87,20
87,79
87,80
88,44
88,81
88,82
88,82
88,19
88,83
89,44
89,81
89,82
89,82
89,19
89,83
90,84
90,85
90,86
91,84
91,85
91,86
92,87
93,87
94,88
95,69
95,70
95,89
96,90
96,91
96,42
97,90
97,91
97,42
98,92
98,84
98,32
99,92
99,84
99,32
100,93
100,23
100,94
101,93
101,23
101,94
102,2
102,95
103,2
103,95
103,41
103,95
104,69
104,24
104,96
105,69
105,24
105,96
105,88
105,24
105,69
106,55
106,97
106,98
107,14
107,99
107,42
108,75
108,74
108,57
109,87
110,87
111,24
111,69
111,97
112,24
112,69
112,97
113,100
113,101
113,102
114,2
114,103
114,76
115,78
115,104
115,42
116,58
116,13
116,47
117,30
117,13
117,47
118,58
118,105
118,24
119,58
119,105
119,24
120,106
120,100
120,77
121,106
121,100
121,77
122,93
122,107
122,53
123,12
123,53
123,66
124,74
124,91
124,46
125,23
125,59
126,73
126,59
127,92
127,108
127,109
128,21
128,60
128,32
129,58
129,54
130,21
130,109
131,63
131,84
131,79
132,55
132,110
133,8
133,111
133,112
134,63
134,79
135,113
135,114
136,37
136,17
137,115
137,116
137,77
138,58
138,84
138,89
139,58
139,84
139,89
140,58
140,96
140,89
141,58
141,96
141,89
142,69
142,117
142,22
143,118
143,20
143,19
144,117
144,28
145,117
145,23
146,117
146,73
147,9
147,119
148,9
148,119
149,42
149,120
150,117
150,22
151,64
152,1
152,103
153,1
153,103
154,1
154,103
155,3
155,37
156,3
156,37
157,3
157,37
158,5
158,32
159,5
159,32
160,5
160,32
161,8
161,14
161,41
162,8
162,14
162,41
163,90
163,14
163,11
164,90
164,14
164,11
165,12
165,78
165,54
166,12
166,78
166,99
167,12
167,90
167,13
168,12
168,90
168,13
169,42
169,43
170,113
170,106
170,63
171,113
171,106
171,63
172,23
172,24
173,33
173,34
173,35
174,33
174,40
174,35
175,18
175,101
175,121
176,18
176,101
176,121
177,64
177,78
177,122
178,64
178,78
178,122
179,23
179,123
180,23
180,123
181,23
181,123
182,2
182,102
183,20
183,124
183,125
184,20
184,124
184,125
185,70
185,69
185,54
186,63
186,47
186,126
187,2
187,103
187,43
188,2
188,103
188,43
189,2
189,103
189,43
190,8
190,52
190,85
191,2
191,4
191,78
192,2
192,4
192,78
193,127
193,10
193,41
194,47
194,63
194,36
195,47
195,63
195,36
196,64
196,122
197,64
197,42
198,90
198,121
198,128
199,74
199,75
199,76
200,87
201,87
202,129
202,130
203,42
203,78
203,125
204,70
204,86
205,70
205,86
206,101
206,8
206,54
207,92
207,26
207,118
208,69
208,70
208,32
209,21
209,8
209,54
210,21
210,114
210,54
211,30
211,58
211,21
212,12
212,53
212,131
213,70
213,19
213,132
214,12
214,17
214,109
215,42
215,14
215,133
216,52
216,114
216,134
217,17
217,114
217,22
218,135
218,73
218,89
219,135
219,73
219,89
220,74
220,28
220,20
221,74
221,28
221,20
222,18
222,100
222,76
223,18
223,13
223,136
224,137
224,13
224,136
225,59
225,18
225,90
226,58
226,63
226,105
227,14
227,70
227,89
228,78
228,37
228,22
229,78
229,37
229,22
230,58
230,13
230,47
231,52
231,26
232,70
232,26
233,115
233,116
233,77
234,21
234,41
234,125
235,75
235,53
235,136
236,17
236,66
236,59
237,21
237,53
237,66
238,74
238,91
238,79
239,23
239,59
240,73
240,59
241,20
241,104
241,125
242,100
242,101
242,102
243,117
243,42
244,117
244,42
245,117
245,42
246,17
246,26
247,9
248,138
248,22
249,117
249,120
250,117
250,76
251,100
252,1
252,98
253,1
253,98
254,1
254,98
255,3
255,127
256,3
256,127
257,3
257,127
258,5
258,47
259,5
259,47
260,5
260,47
261,8
261,114
261,54
262,21
262,114
262,109
263,52
263,19
263,114
264,52
264,19
264,114
265,7
265,8
266,9
267,12
267,31
268,9
269,7
269,10
270,58
270,6
270,75
271,58
271,6
271,75
272,58
272,6
272,75
273,2
273,78
273,133
274,2
274,78
274,133
275,2
275,78
275,133
276,17
276,104
277,17
277,104
278,14
278,79
278,6
279,14
279,126
279,6
280,64
280,115
280,130
281,64
281,115
281,130
282,64
282,115
282,130
283,58
283,6
284,21
284,22
285,45
285,139
285,114
286,45
286,139
286,53
287,140
288,59
289,140
290,10
290,8
291,127
291,43
292,141
293,93
293,54
294,93
294,104
295,93
295,104
296,20
296,17
296,32
297,20
297,17
297,32
298,20
298,124
298,125
299,70
299,71
299,50
300,33
300,142
300,48
301,33
301,142
301,48
302,14
302,143
302,128
303,92
303,21
303,32
304,70
304,69
304,144
305,70
305,69
305,144
306,70
306,69
306,144
307,145
307,130
308,145
308,130
309,23
309,24
309,146
310,23
310,24
310,146
311,123
311,24
312,146
312,113
313,106
313,12
313,128
314,74
314,11
314,128
315,100
315,30
315,103
316,68
316,81
316,19
317,68
317,81
317,19
318,147
318,127
319,147
319,127
320,105
320,74
320,117
321,105
321,74
321,117
322,74
322,148
322,75
323,135
323,149
323,60
324,150
324,38
324,84
325,20
325,75
325,19
326,20
326,75
326,19
327,75
327,15
327,132
328,92
328,49
328,32
329,87
330,87
331,26
331,63
332,26
332,63
333,100
333,57
334,100
334,57
335,118
335,151
336,9
336,43
337,87
338,87
339,74
339,112
339,79
340,74
340,112
340,79
341,92
341,84
341,111
342,92
342,84
342,111
343,87
344,87
345,137
345,152
346,137
346,152
347,96
347,58
348,96
348,58
349,58
349,74
349,111
350,119
350,40
350,33
351,153
352,154
352,155
353,90
353,41
353,88
354,90
354,41
354,88
355,87
355,41
356,117
356,41
357,2
357,4
357,95
358,87
359,117
359,121
359,62
360,129
360,130
361,42
361,80
361,136
362,42
362,80
362,136
363,20
363,80
363,74
364,20
364,80
364,74
365,20
365,80
365,74
366,84
366,54
367,58
367,105
368,58
368,79
369,58
369,69
369,70
370,58
370,79
371,69
371,32
372,69
372,86
373,21
373,109
374,67
374,131
375,67
375,131
376,67
376,131
377,67
377,70
378,67
378,80
379,67
379,131
380,87
381,87
382,126
383,38
384,156
385,101
386,117
387,1
387,84
388,1
388,84
389,1
389,84
390,3
390,99
391,3
391,99
392,3
392,99
393,5
393,61
394,5
394,61
395,5
395,61
396,14
396,97
397,21
397,97
398,21
398,97
399,148
399,36
399,136
400,148
400,36
400,136
401,9
401,8
402,12
402,53
403,31
403,21
403,17
404,31
404,21
404,17
405,31
405,21
405,17
406,100
406,30
406,103
407,100
407,30
407,53
408,108
408,32
409,108
409,32
410,70
410,93
411,70
411,93
412,9
412,86
413,112
413,86
414,12
414,11
415,134
415,18
416,117
416,22
417,8
417,52
417,113
418,58
418,105
419,58
419,105
420,2
421,157
422,81
422,152
422,50
423,81
423,152
423,50
424,53
424,52
424,85
425,94
425,98
425,158
426,94
426,98
426,158
427,8
427,159
427,55
428,33
428,159
428,55
429,87
430,90
430,121
430,109
431,55
431,75
431,14
432,20
432,75
432,61
433,87
434,44
434,94
434,14
435,44
435,94
435,14
436,87
436,160
436,144
437,87
437,160
437,144
438,70
438,69
438,54
439,93
439,107
439,53
440,100
440,101
440,35
441,14
441,15
441,16
442,117
442,43
443,26
443,147
444,26
444,147
445,26
445,147
446,52
446,20
446,19
447,66
447,42
447,128
448,66
448,42
448,62
449,138
449,50
450,138
450,50
451,96
451,13
451,14
452,96
452,13
452,14
453,112
453,46
453,82
454,112
454,46
454,82
455,87
456,58
456,152
456,105
457,58
457,152
457,105
458,58
458,63
458,105
459,39
459,93
460,39
460,93
461,117
461,133
462,71
462,70
462,77
463,75
463,74
463,57
464,24
464,149
464,97
465,2
465,103
465,76
466,161
466,59
467,73
467,59
468,18
468,101
468,121
469,127
469,11
469,41
470,103
470,2
471,28
471,80
472,92
472,26
472,139
473,74
473,28
473,20
474,111
474,116
474,77
475,66
475,62
476,70
476,71
476,50
477,117
477,41
478,28
478,88
479,87
480,87
481,87
482,87
483,117
483,130
484,117
484,130
485,37
485,73
486,162
487,117
487,130
487,87
488,87
489,79
490,79
491,163
492,100
492,101
493,164
494,165
495,1
495,132
496,1
496,132
497,1
497,132
498,3
498,20
499,3
499,20
500,3
500,97
501,5
501,84
502,5
502,84
503,5
503,84
504,8
504,14
504,77
505,106
505,14
505,77
506,59
506,52
506,8
507,21
507,27
507,104
508,21
508,27
508,104
509,55
509,98
509,128
510,55
510,98
510,128
511,19
511,1
512,19
512,1
513,19
513,3
514,19
514,3
515,19
515,5
516,19
516,5
517,91
517,64
517,130
518,91
518,64
518,130
519,16
519,121
519,31
520,16
520,121
520,31
521,16
521,121
521,31
522,24
522,161
522,125
523,24
523,161
523,125
524,70
524,89
524,50
525,70
525,89
525,50
526,70
526,138
526,50
527,36
527,159
527,148
528,36
528,159
528,148
529,27
529,50
529,108
530,27
530,50
530,108
531,102
531,76
531,159
532,17
532,32
532,99
533,17
533,32
533,99
534,17
534,32
534,99
535,58
535,79
535,63
536,58
536,79
536,63
537,58
537,82
537,63
538,17
538,42
538,108
539,70
539,42
539,108
540,12
540,2
540,86
541,103
541,2
541,86
542,12
542,2
542,86
543,30
543,12
543,127
544,30
544,12
544,127
545,30
545,12
545,127
546,128
546,43
546,2
547,128
547,43
547,2
548,2
548,75
548,103
549,2
549,75
549,103
550,97
550,69
550,111
550,108
551,21
551,109
551,60
552,21
552,109
552,60
553,21
553,109
553,60
554,18
554,42
555,32
555,166
556,63
556,2
556,152
557,70
557,84
557,89
558,70
558,84
558,89
559,9
559,109
559,21
560,9
560,109
560,21
561,48
561,34
561,11
562,167
563,167
564,149
564,70
564,58
565,149
565,70
565,58
566,168
567,168
568,44
568,81
568,94
569,44
569,89
569,94
570,169
571,169
572,33
572,53
572,85
573,33
573,53
573,85
574,41
574,40
574,129
575,41
575,40
575,129
576,41
576,40
576,129
577,86
577,34
577,76
578,86
578,34
578,76
579,86
579,34
579,76
580,14
580,16
580,79
581,14
581,16
581,79
582,80
582,28
582,89
583,80
583,28
583,89
584,80
584,39
584,89
585,2
585,125
585,101
586,2
586,125
586,101
587,23
587,161
588,12
588,9
588,65
589,12
589,84
589,86
590,45
590,76
591,45
591,76
592,63
592,88
592,47
593,63
593,88
593,47
594,102
594,79
594,76
595,10
595,22
595,12
596,10
596,22
596,12
597,170
598,170
598,112
599,123
599,146
599,67
600,123
600,146
600,67
601,123
601,146
601,67
602,87
603,87
604,87
605,130
605,64
605,77
606,130
606,64
606,77
607,37
607,73
607,43
608,37
608,73
608,43
609,37
609,73
609,43
610,31
610,108
610,22
611,31
611,108
611,22
612,31
612,108
612,22
613,28
613,29
613,54
614,28
614,29
614,58
615,87
616,79
616,84
616,86
617,79
617,81
617,98
618,23
618,55
618,26
619,42
619,76
619,97
620,42
620,76
620,97
621,147
621,32
621,108
622,99
622,159
622,65
623,99
623,159
623,65
624,61
624,42
624,117
625,61
625,42
625,117
626,97
626,125
626,93
627,14
627,32
627,18
628,14
628,32
628,61
629,16
629,86
629,89
630,16
630,86
630,89
631,19
631,37
631,150
632,12
632,18
632,140
633,18
634,18
635,87
636,73
636,12
637,73
637,12
